ID,wMF_overall_sf,clusterID
2,0.419686097,4
3,0.684081738,1
4,0.762581695,4
6,0.65804123,2
7,0.334100993,3
8,0.187718899,3
9,0.709444166,1
10,0.50642187,3
12,0.700020383,1
13,0.604119088,1
14,0.152348241,3
15,0.116602353,3
16,0.191731294,1
17,0.315895617,4
18,0.138143793,3
21,0.634523235,2
22,0.412636955,1
23,0.299495578,3
25,0.594689826,1
28,0.750424078,2
29,0.726588528,2
30,0.358846326,3
31,0.307911235,3
32,0.132841956,3
33,0.683510764,2
34,0.514993923,4
35,0.786410021,2
36,0.085378759,3
37,0.46513493,4
38,0.781173904,1
41,0.183071774,3
42,0.673209834,1
43,0.819011247,2
46,0.602959708,2
48,0.794122266,1
49,0.349819814,3
50,0.643231746,1
51,0.402242775,1
52,0.673640422,4
53,0.819232674,2
54,0.736674739,4
55,0.67232763,4
57,0.501005334,2
58,0.733652159,1
59,0.262642381,4
60,0.418227047,4
61,0.777211651,4
62,0.786855502,2
63,0.349553356,3
64,0.546829068,2
65,0.441050151,4
66,0.19750861,4
69,0.50691696,2
70,0.432077046,4
71,0.183975799,3
72,0.625633715,4
73,0.55612848,1
74,0.074083386,3
75,0.454761682,4
76,0.523683721,4
77,0.270291822,3
78,0.843892414,1
80,0.827357609,1
81,0.44545128,2
82,0.14683259,3
83,0.81694808,4
84,0.800964685,2
85,0.919677057,4
86,0.86794709,2
87,0.782272321,1
88,0.58109887,4
89,0.659506842,1
91,0.283188256,3
92,0.776694201,4
93,0.599063528,1
94,0.330521287,4
95,0.324977706,2
96,0.374440985,3
97,0.149784396,4
98,0.53225022,4
99,0.355489867,3
101,0.72571194,2
109,0.291588785,1
112,0.549152405,3
114,0.361190831,3
115,0.446524661,4
116,0.398410505,4
117,0.872334981,1
118,0.794111614,1
119,0.285701431,3
120,0.72016996,2
122,0.200979179,3
123,0.668240915,4
125,0.434609083,4
126,0.8934594,2
127,0.833525596,2
128,0.114246129,3
129,0.768435612,2
130,0.514461893,4
131,0.669307809,4
134,0.762823006,4
136,0.595449645,1
138,0.686721024,2
140,0.80838532,2
141,0.524630194,4
142,0.64070856,2
143,0.906644932,1
145,0.74282462,1
146,0.899896535,2
148,0.619333867,2
149,0.885917114,2
152,0.637494057,1
158,0.521367161,3
159,0.68634744,4
161,0.738267184,4
163,0.252701557,3
164,0.422047306,4
166,0.592221226,4
167,0.534276705,3
168,0.44770065,4
169,0.353588599,4
171,0.600191105,4
172,0.807181554,2
173,0.283495627,3
174,0.905132286,2
176,0.830065372,1
177,0.114827273,3
179,0.667619959,4
180,0.142997544,3
181,0.15797718,3
182,0.333422652,4
183,0.502142809,1
184,0.7442113,4
185,0.861406276,2
186,0.655449213,1
188,0.520485751,2
189,0.728754593,4
190,0.774789574,1
191,0.747867404,1
192,0.724578732,2
195,0.707937338,1
196,0.84377196,1
197,0.110520596,3
198,0.295367078,3
202,0.246577688,1
203,0.782757948,4
204,0.088643824,3
205,0.100491691,3
206,0.54341398,3
207,0.518328553,4
209,0.644946889,1
210,0.274518574,3
212,0.852751011,2
213,0.791171457,1
214,0.612325261,2
215,0.388354649,4
216,0.271897951,3
217,0.37226983,1
218,0.243204678,4
219,0.30680699,3
221,0.341240228,1
222,0.655920573,1
224,0.498580735,4
227,0.692627959,2
228,0.991719211,1
229,0.646924983,1
230,0.58371098,4
232,0.564779284,4
233,0.31511498,1
234,0.645384907,1
237,0.636941177,4
238,0.176467688,3
242,0.520174317,1
244,0.649528684,4
245,0.796726604,1
246,0.488482064,3
247,0.326260814,4
248,0.194527987,4
250,0.314590396,4
251,0.561728544,4
252,0.44311977,3
253,0.85301762,2
255,0.768285297,4
256,0.558435277,1
261,0.609094172,1
262,0.313578549,1
265,0.265160793,4
268,0.660779541,1
269,0.908874922,2
270,0.425037367,4
